prefix,country
VU,India
AT,India
8T,India
AP,Pakistan
S2,Bangladesh
4S,Sri Lanka
9N,Nepal
A5,Bhutan
JA,Japan
JE,Japan
JF,Japan
JG,Japan
JH,Japan
JI,Japan
JJ,Japan
JK,Japan
JL,Japan
JM,Japan
JN,Japan
JO,Japan
JP,Japan
JQ,Japan
JR,Japan
JS,Japan
7J,Japan
7K,Japan
7L,Japan
7M,Japan
7N,Japan
8J,Japan
B,China
BA,China
BD,China
BG,China
BH,China
BI,China
BJ,China
BL,China
BM,Taiwan
BU,Taiwan
BV,Taiwan
BX,Taiwan
BY,China
VR2,Hong Kong
XX9,Macao
HL,South Korea
DS,South Korea
DT,South Korea
6K,South Korea
6L,South Korea
6M,South Korea
6N,South Korea
P5,North Korea
YB,Indonesia
YC,Indonesia
YD,Indonesia
YE,Indonesia
YF,Indonesia
YG,Indonesia
YH,Indonesia
8A,Indonesia
8B,Indonesia
8C,Indonesia
8D,Indonesia
8E,Indonesia
8F,Indonesia
8G,Indonesia
8H,Indonesia
8I,Indonesia
9M2,West Malaysia
9M4,West Malaysia
9M6,East Malaysia
9M8,East Malaysia
9W,Malaysia
9V,Singapore
HS,Thailand
E2,Thailand
XV,Vietnam
3W,Vietnam
XU,Cambodia
XW,Laos
XZ,Myanmar
DU,Philippines
DV,Philippines
DW,Philippines
DX,Philippines
DY,Philippines
DZ,Philippines
4W,Timor-Leste
V8,Brunei
UN,Kazakhstan
UP,Kazakhstan
EX,Kyrgyzstan
EY,Tajikistan
EZ,Turkmenistan
UK,Uzbekistan
UA2,Kaliningrad
UA8,Asiatic Russia
UA9,Asiatic Russia
UA0,Asiatic Russia
RA8,Asiatic Russia
RA9,Asiatic Russia
RA0,Asiatic Russia
R8,Asiatic Russia
R9,Asiatic Russia
R0,Asiatic Russia
UA,European Russia
RA,European Russia
RU,European Russia
RV,European Russia
RW,European Russia
RX,European Russia
RZ,European Russia
R1,European Russia
R2,European Russia
R3,European Russia
R4,European Russia
R5,European Russia
R6,European Russia
R7,European Russia
UR,Ukraine
US,Ukraine
UT,Ukraine
UU,Ukraine
UV,Ukraine
UW,Ukraine
UX,Ukraine
UY,Ukraine
UZ,Ukraine
EM,Ukraine
EN,Ukraine
EO,Ukraine
EU,Belarus
EV,Belarus
EW,Belarus
YL,Latvia
LY,Lithuania
ES,Estonia
OH,Finland
OF,Finland
OG,Finland
SM,Sweden
SA,Sweden
SB,Sweden
SC,Sweden
SD,Sweden
SE,Sweden
